n_words,top_n,threshold,accuracy,Precision,Recall,F1,Precision_asin,F1_asin
3,3,0.0,0.29,0.19,0.13,0.15,0.11,0.09
3,5,0.0,0.31,0.24,0.17,0.2,0.15,0.13
4,3,0.0,0.27,0.2,0.16,0.18,0.15,0.13
4,5,0.21,0.32,0.25,0.19,0.22,0.2,0.17
5,3,0.24,0.32,0.25,0.19,0.22,0.21,0.18
5,5,0.18,0.27,0.26,0.24,0.25,0.21,0.2
6,3,0.22,0.29,0.25,0.21,0.23,0.22,0.2
6,5,0.22,0.31,0.28,0.24,0.26,0.25,0.23
7,3,0.22,0.3,0.26,0.22,0.24,0.25,0.23
7,5,0.23,0.32,0.29,0.25,0.27,0.28,0.25
